parity ok: all variants match [rand.predef] and each other
2026-08-28T09:48:56+00:00
Running ./bench_clang_O3
Run on (4 X 2700 MHz CPU s)
CPU Caches:
  L1 Data 48 KiB (x2)
  L1 Instruction 32 KiB (x2)
  L2 Unified 2048 KiB (x2)
  L3 Unified 107520 KiB (x1)
Load Average: 1.00, 0.94, 0.64
***WARNING*** Library was built as DEBUG. Timings may be affected.
-------------------------------------------------------------------------------------------------------------
Benchmark                                                   Time             CPU   Iterations UserCounters...
-------------------------------------------------------------------------------------------------------------
BM_ColSample<xgboost_hilo::Philox4x32>/4096_mean        13517 ns        13517 ns           15 items_per_second=73.9881k/s
BM_ColSample<xgboost_hilo::Philox4x32>/4096_median      13473 ns        13472 ns           15 items_per_second=74.2259k/s
BM_ColSample<xgboost_hilo::Philox4x32>/4096_stddev        133 ns          133 ns           15 items_per_second=709.573/s
BM_ColSample<xgboost_hilo::Philox4x32>/4096_cv           0.99 %          0.99 %            15 items_per_second=0.96%
BM_ColSample<xgboost::Philox4x32>/256_mean                938 ns          938 ns           15 items_per_second=1.06619M/s
BM_ColSample<xgboost::Philox4x32>/256_median              938 ns          938 ns           15 items_per_second=1.06611M/s
BM_ColSample<xgboost::Philox4x32>/256_stddev            0.676 ns        0.676 ns           15 items_per_second=768.403/s
BM_ColSample<xgboost::Philox4x32>/256_cv                 0.07 %          0.07 %            15 items_per_second=0.07%
BM_ColSample<xgboost_hilo::Philox4x32>/64_mean            250 ns          250 ns           15 items_per_second=3.99997M/s
BM_ColSample<xgboost_hilo::Philox4x32>/64_median          250 ns          250 ns           15 items_per_second=3.99981M/s
BM_ColSample<xgboost_hilo::Philox4x32>/64_stddev        0.195 ns        0.194 ns           15 items_per_second=3.10599k/s
BM_ColSample<xgboost_hilo::Philox4x32>/64_cv             0.08 %          0.08 %            15 items_per_second=0.08%
BM_ColSample<std::mt19937>/1024_mean                     4258 ns         4258 ns           15 items_per_second=234.846k/s
BM_ColSample<std::mt19937>/1024_median                   4260 ns         4260 ns           15 items_per_second=234.742k/s
