parity ok: all variants match [rand.predef] and each other
2026-08-28T09:36:06+00:00
Running ./bench_g_O3
Run on (4 X 2700 MHz CPU s)
CPU Caches:
  L1 Data 48 KiB (x2)
  L1 Instruction 32 KiB (x2)
  L2 Unified 2048 KiB (x2)
  L3 Unified 107520 KiB (x1)
Load Average: 0.00, 0.01, 0.12
***WARNING*** Library was built as DEBUG. Timings may be affected.
-------------------------------------------------------------------------------------------------------------
Benchmark                                                   Time             CPU   Iterations UserCounters...
-------------------------------------------------------------------------------------------------------------
BM_ColSample<xgboost::Philox4x32>/1024_mean              3366 ns         3366 ns           15 items_per_second=297.092k/s
BM_ColSample<xgboost::Philox4x32>/1024_median            3367 ns         3367 ns           15 items_per_second=297.005k/s
BM_ColSample<xgboost::Philox4x32>/1024_stddev            2.42 ns         2.42 ns           15 items_per_second=213.46/s
BM_ColSample<xgboost::Philox4x32>/1024_cv                0.07 %          0.07 %            15 items_per_second=0.07%
BM_Seq<xgboost::Philox4x32>_mean                         3.07 ns         3.07 ns           15 items_per_second=325.608M/s
BM_Seq<xgboost::Philox4x32>_median                       3.07 ns         3.07 ns           15 items_per_second=325.54M/s
BM_Seq<xgboost::Philox4x32>_stddev                      0.002 ns        0.002 ns           15 items_per_second=172.843k/s
BM_Seq<xgboost::Philox4x32>_cv                           0.05 %          0.05 %            15 items_per_second=0.05%
BM_ColSample<xgboost_hilo::Philox4x32>/256_mean           854 ns          854 ns           15 items_per_second=1.17148M/s
BM_ColSample<xgboost_hilo::Philox4x32>/256_median         854 ns          854 ns           15 items_per_second=1.17109M/s
BM_ColSample<xgboost_hilo::Philox4x32>/256_stddev       0.821 ns        0.826 ns           15 items_per_second=1.1341k/s
BM_ColSample<xgboost_hilo::Philox4x32>/256_cv            0.10 %          0.10 %            15 items_per_second=0.10%
BM_ColSample<xgboost_hilo::Philox4x32>/16_mean           59.5 ns         59.5 ns           15 items_per_second=16.8142M/s
BM_ColSample<xgboost_hilo::Philox4x32>/16_median         59.5 ns         59.5 ns           15 items_per_second=16.8142M/s
BM_ColSample<xgboost_hilo::Philox4x32>/16_stddev        0.033 ns        0.032 ns           15 items_per_second=9.14132k/s
